Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League,Team,Position,Age,salary_float,salary_ratio,Salary_Rank
Candace Parker,22,22,665,5.6,11,0.51,0.9,2.2,0.396,4.8,8.9,0.538,2.6,3.5,0.731,1.7,8,9.7,4.6,1.2,1.2,2.9,2.3,14.7,WNBA,  CHI,F,35,192500,0.00321,101
Cheyenne Parker,20,13,497,4.9,8.8,0.554,0.8,1.6,0.469,4.1,7.2,0.573,2.9,3.4,0.853,2.4,4,6.4,1.5,1.3,0.9,2.8,3.2,13.4,WNBA,  ATL,F,28,190550,0.00318,102
Bria Hartley,13,3,322,5.1,12.1,0.42,1.9,5,0.385,3.2,7.1,0.446,2.5,3.2,0.805,0.4,2.5,2.9,4.5,1.2,0,2.1,2.5,14.6,WNBA,  PHX,G,28,190517,0.00318,103
Jasmine Thomas,19,19,485,4,9.9,0.404,1.1,3.3,0.333,2.9,6.6,0.44,1.1,1.2,0.913,0.2,1.5,1.7,4,1.3,0.3,2.4,1.6,10.2,WNBA,  CON,G,31,188333,0.00314,104
Courtney Williams,20,14,615,6.7,15.4,0.436,0.4,1.7,0.235,6.3,13.7,0.462,0.8,1.2,0.696,1.9,5.3,7.2,3.2,0.7,0.1,2.7,2,14.6,WNBA,  ATL,G,26,187750,0.00313,105
Breanna Stewart,20,20,607,6.7,14.8,0.451,1.8,4.8,0.368,4.9,10,0.49,4.7,5.2,0.894,1,7.3,8.3,3.6,1.7,1.3,2.6,2.3,19.7,WNBA,  SEA,F,26,187750,0.00313,106
Angel McCoughtry,22,22,440,5.3,10.3,0.518,0.7,1.5,0.471,4.6,8.7,0.526,3,3.5,0.882,1.7,3.4,5.1,2.5,1.3,0.3,1.7,2.2,14.4,WNBA,  LV,F,34,187750,0.00313,107
Alysha Clark,22,22,633,3.7,6.7,0.558,1.6,3,0.522,2.1,3.6,0.588,0.9,1.1,0.8,0.9,3.3,4.2,2.7,1.5,0.5,0.9,1.7,10,WNBA,  WAS,F,33,183000,0.00305,108
Stefanie Dolson,15,8,273,2.3,4.7,0.486,0.8,2.1,0.375,1.5,2.5,0.579,0.9,1.3,0.737,0.7,2.8,3.5,1.7,0.4,0.9,1,3.2,6.3,WNBA,  CHI,C,29,177625,0.00296,109
Moriah Jefferson,9,6,148,2,4.9,0.409,0.2,0.7,0.333,1.8,4.2,0.421,0.8,1.3,0.583,0.9,2.2,3.1,2,0.8,0.2,1.7,1.9,5,WNBA,  DAL,G,27,175067,0.00292,110
Shekinna Stricklen,22,15,482,2.1,6.3,0.341,1.5,4.5,0.333,0.6,1.8,0.359,0.4,0.4,1,0.2,1.7,1.9,0.6,0.3,0,0.7,2,6.1,WNBA,  ATL,F,30,172550,0.00288,111
Ariel Atkins,22,22,682,5,11.4,0.438,2,4.9,0.411,3,6.5,0.458,2.8,3.2,0.886,0.8,2.1,2.9,2.4,1.8,0.2,1.9,2.6,14.8,WNBA,  WAS,G,24,172500,0.00288,112
Candice Dupree,22,22,665,5.3,11.4,0.462,0.1,0.8,0.167,5.1,10.6,0.485,1.9,2.2,0.854,1.2,4.5,5.7,2.5,0.7,0.4,1.3,1.2,12.5,WNBA,  SEA,F,36,170000,0.00283,113
Kahleah Copper,22,22,688,6,12.1,0.496,1,2.8,0.344,5,9.3,0.541,1.9,2.6,0.737,1,4.5,5.5,2.1,1,0.2,2.5,2.4,14.9,WNBA,  CHI,G,26,165000,0.00275,114
